question,mean
I am comfortable learning Python,4.181818181818182
I am comfortable using the Python book,4.2727272727272725
I am comfortable using the UPPMAX documentation,4.545454545454546
I can convert a simple equation to Python code,4.090909090909091
I can convert a simple text question to Python code,3.5454545454545454
I can create a Python script,4.545454545454546
I can describe what a program is,3.909090909090909
I can describe what the Python interpreter is,4.090909090909091
I can describe what the Python programming language is,4
I can find and use a Python module on Rackham,3.909090909090909
I can load a Python version on Rackham,5
I can login to Rackham,5
I can run a Python script,4.818181818181818
I can start an interactive session on Rackham,4.818181818181818
I can use a text editor on Rackham,4.818181818181818
"In Python, I can ask a user for input",3.727272727272727
"In Python, I can create a file",4.454545454545454
"In Python, I can create a variable",4.545454545454546
"In Python, I can find and use the operator for exponentiation",NA
"In Python, I can import the `matplotlib` library",NA
"In Python, I can read a file",4.545454545454546
"In Python, I can use a for loop",NA
"In Python, I can use a variable",4.545454545454546
"In Python, I can use command-line arguments",NA
"In Python, I can use user input in a calculation",3.8181818181818183
"In Python, I can write a function that calls a function",NA
"In Python, I can write a function that requires an argument",NA
"In Python, I can write a function with a return value",NA
"In Python, I can write a function without an argument and without a return type",NA
"In Python, I know what the modulo operator is and when to use it",3.4545454545454546
